"","Log2FC","Std.Error","df","t value","Pr(>|t|)","FDR","diffexpressed","delabel"
"NEDD8",-0.096070446366047,0.183107855219881,37.4440184982037,-0.524665892955181,0.602908124826922,0.827074015004183,"NO",NA
"NFE2L2",0.478163936342434,0.227922460149548,56.9999999987988,2.09792372383438,0.040356446235812,0.224708301754079,"NO",NA
"NNMT",1.04440025194168,0.330857627093623,39.8216100273348,3.15664553698241,0.00303839961259909,0.0471597492278482,"UP","NNMT"
"NSF",0.263114613101986,0.287748419907503,53.2708184486089,0.914391165680647,0.364631749399819,0.666649748410947,"NO",NA
"NUCB1",0.64598422957754,0.247927819955847,50.6784234363231,2.60553345603806,0.0120117680012083,0.110054309161573,"NO",NA
"NUMA1",-0.25531538925649,0.217813214033259,48.3146455354684,-1.17217584979718,0.246874091898609,0.568567948513022,"NO",NA
"OAS3",0.327711152353558,0.380751610217957,56.1093459776773,0.860695381343135,0.393068862850989,0.687839124739881,"NO",NA
"PBX3",0.0801186400036881,0.346805427653327,51.0128370619165,0.231018991097729,0.818224122877889,0.93155175551488,"NO",NA
"PCM1",-0.329973090460559,0.250889805573278,50.1015751710342,-1.31521123270265,0.194426656016364,0.518689771476982,"NO",NA
"CDK16",0.0573842046122684,0.238781651538527,21.1543554773433,0.240320829689084,0.812395133503067,0.929135174102388,"NO",NA
"PDE4D",0.432690876675252,0.25702573694536,56.999999999946,1.68345350087348,0.0977571637626048,0.365371464895006,"NO",NA
"PIK3CA",0.0261220930927194,0.252525860097747,56.9999999992923,0.103443239764071,0.91797429489722,0.970961614235882,"NO",NA
"PIK3CB",0.267120123343566,0.207645684060695,56.9999999990971,1.28642270872091,0.203496211615182,0.526170714223493,"NO",NA
"PIN1",-0.0254415043889399,0.150421292874452,56.9999999989209,-0.169134993475787,0.866289262149573,0.947952639767827,"NO",NA
"PLTP",0.391243601489971,0.385265191621863,41.6209847104732,1.01551764861741,0.315726361139789,0.631661328254206,"NO",NA
"POLD2",0.0274679598017903,0.298095408901184,30.6204476806099,0.0921448602749051,0.927183165404968,0.973584131715848,"NO",NA
"POLR2I",-0.281846174617251,0.282039328571564,43.6531522800822,-0.99931515241051,0.323149450789374,0.635511787823037,"NO",NA
"PPP1R2",0.236180123369738,0.27674482450672,37.0780869663115,0.853422006321939,0.398905215796623,0.692961850776696,"NO",NA
"PRKAA1",0.219577173236456,0.319212971190931,45.9460857149837,0.687870459703597,0.494992564182189,0.757436509512339,"NO",NA
"PRKAB1",-0.175614269961223,0.268479654007075,38.8231977607663,-0.65410643726692,0.516899435164979,0.770471863022939,"NO",NA
"PRKCD",0.536958616983742,0.374349680074105,46.2005193731943,1.43437712268766,0.158199211419609,0.466231474410571,"NO",NA
"PRKCH",0.516382371845704,0.26702989713181,56.9999999990285,1.93379983811629,0.058108584935195,0.275651027584358,"NO",NA
"DNAJC3",0.957277398860558,0.306014425648001,54.2604769975274,3.12821004053477,0.00282766764572837,0.0448250503472323,"NO",NA
"PSME1",0.49278849146687,0.244175918281802,52.2342058209128,2.01816991181803,0.0487225816328437,0.24902147832682,"NO",NA
"RAD21",-0.321763321533114,0.252969141764396,33.6843939096165,-1.27194692320532,0.212103572225215,0.53256161101681,"NO",NA
"DPF2",0.0343107771657109,0.292528752756518,56.9999999990998,0.117290272639521,0.907042349610701,0.96480004533431,"NO",NA
"S100A1",-1.34255478131533,0.445576452630614,54.0647657043148,-3.01307390323052,0.00392979346885197,0.056217593775039,"NO",NA
"SRSF6",-0.701242548446955,0.246241705950832,31.9582500656865,-2.84778139324203,0.00763426986195154,0.0834893504463722,"NO",NA
"ST3GAL4",-0.268088111643046,0.362272041416929,54.4015455375487,-0.740018773169722,0.462470363717945,0.738308602217546,"NO",NA
"SSR4",1.48266576913993,0.294822535779263,51.8453509129342,5.02901097848916,6.25844068613e-06,0.00107156239122832,"UP","SSR4"
"TACC1",-0.217687412128444,0.287531559474272,56.9864435076713,-0.757090500001001,0.452114693018575,0.733314506527168,"NO",NA
"TAF10",0.218349590790433,0.240422052997502,56.709907662949,0.908192855306419,0.36761974262445,0.668499359389101,"NO",NA
"TFDP2",-0.261268502287535,0.281717648513936,56.9999999984475,-0.927412619215479,0.357622829506347,0.663084765775051,"NO",NA
"TLN1",0.39754229455517,0.220084476229272,56.9319344334859,1.80631683509123,0.0761553667821925,0.321710300516919,"NO",NA
"TNFAIP3",1.48441713364662,0.373958119007509,49.5822166466503,3.96947427585283,0.000232489075621359,0.00950602720395096,"UP","TNFAIP3"
"TNFAIP2",0.39573012238036,0.305391290914935,33.3280179468912,1.29581338483745,0.203942602902145,0.52682768566754,"NO",NA
"TSG101",-0.275670574282929,0.280832763040249,41.3006889938809,-0.981618281636957,0.332003517313731,0.643495044259979,"NO",NA
